Date;MKT_AP;HML_AP;SMB_AP;ESG_AP;HDY_AP;LOV_AP;MOM_AP;QLT_AP;MKT_EU;HML_EU;SMB_EU;ESG_EU;HDY_EU;LOV_EU;MOM_EU;QLT_EU;MKT_NA;HML_NA;SMB_NA;ESG_NA;HDY_NA;LOV_NA;MOM_NA;QLT_NA;MKT_World;HML_World;SMB_World;ESG_World;HDY_World;LOV_World;MOM_World;QLT_World;RF_World;RF_AP;RF_EU;RF_NA
1976-02-29;-0,017338004;0;0;0;0;0;0;0;-0,029187227;-0,001677185;0;0;0;0;0,012905398;0;-0,015627997;0,025191854;0;0;0;0;0,001468372;-0,017671026;-0,006506485;0,01741349;0;0;0;0;-0,002987381;-0,007612824;0,01083152;0,01083152;0,01083152;0,01083152
1976-03-31;0,020507794;0;0;0;0;0;0;0;-0,017782651;0,021147672;0;0;0;0;0,021970502;0;0,043233641;0,008766651;0;0;0;0;-0,01806049;-0,005295224;0,012775143;0,007905108;0;0;0;0;0,015357054;0,00423166;-0,007732651;-0,007732651;-0,007732651;-0,007732651
1976-04-30;-0,001436006;0;0;0;0;0;0;0;-0,005977723;-0,000370039;0;0;0;0;-0,008638595;0;-0,003251628;0,032229356;0;0;0;0;0,001167216;-0,007286169;-0,006364994;0,021659603;0;0;0;0;0,004548903;-0,006528863;-0,004928988;-0,004928988;-0,004928988;-0,004928988
1976-05-31;-0,000764402;0;0;0;0;0;0;0;-0,029995195;0,006950931;0;0;0;0;-0,005731631;0;0,00501504;0,008997181;0;0;0;0;-0,013322513;0,009046277;-0,015729878;0,007967721;0;0;0;0;-0,003252474;0,011806736;-0,014965476;-0,014965476;-0,014965476;-0,014965476
1976-06-30;0,026593925;0;0;0;0;0;0;0;-0,00603171;-0,007595702;0;0;0;0;0,008668846;0;0,033708697;0,008736479;0;0;0;0;-0,000794659;0,002781451;0,031732736;0,006205215;0;0;0;0;-0,007870224;-0,003715013;0,005138811;0,005138811;0,005138811;0,005138811
1976-07-31;-0,009912927;0;0;0;0;0;0;0;-0,018377382;-0,007187871;0;0;0;0;0,003022595;0;-0,007380141;0,021919199;0;0;0;0;-0,004641241;-0,00067176;-0,008377099;0,012692925;0;0;0;0;-0,005027079;-0,001984693;0,001535828;0,001535828;0,001535828;0,001535828
1976-08-31;-0,017616969;0;0;0;0;0;0;0;-0,035899183;0,005680014;0;0;0;0;-0,005477931;0;-0,017948987;0,004755351;0;0;0;0;-0,015432422;-0,004113996;-0,001347601;0,003141075;0;0;0;0;-0,013401481;-0,007582934;0,016269368;0,016269368;0,016269368;0,016269368
1976-09-30;-0,018471281;0;0;0;0;0;0;0;-0,053197492;0,009588838;0;0;0;0;0,004480889;0;-0,017410308;0,031879574;0;0;0;0;0,009651039;0,010056899;0,0093879;0,024047414;0;0;0;0;-0,005785192;0,001709401;0,027859181;0,027859181;0,027859181;0,027859181
1976-10-31;-0,050368842;0;0;0;0;0;0;0;-0,088504583;0,004744599;0;0;0;0;0,008101175;0;-0,043035357;0,009546587;0;0;0;0;0,007026714;0,001864841;-0,034032674;0,007684916;0;0;0;0;0,009399388;0,005320759;0,016336168;0,016336168;0,016336168;0,016336168
1976-11-30;-0,02634564;0;0;0;0;0;0;0;0,022613587;-0,004801054;0;0;0;0;-0,000253184;0;-0,030736537;0,018194831;0;0;0;0;0,009304986;-0,011305919;-0,002864669;0,011143085;0;0;0;0;0,009781351;-0,008661276;0,023480971;0,023480971;0,023480971;0,023480971
1976-12-31;0,061591094;0;0;0;0;0;0;0;0,073892046;0,00555344;0;0;0;0;-0,013248236;0;0,04617793;0,023468283;0;0;0;0;-0,010963727;-0,005383865;0,07624001;0,011188079;0;0;0;0;-0,005216567;-0,014417339;0,014648916;0,014648916;0,014648916;0,014648916
1977-01-31;-0,030046329;0;0;0;0;0;0;0;0,010869704;0,001558539;0;0;0;0;0,00060258;0;-0,046782909;0,054454503;0;0;0;0;0,01138682;-0,02064573;-0,032587292;0,035479109;0;0;0;0;-0,001952278;-0,020941841;-0,002540963;-0,002540963;-0,002540963;-0,002540963
1977-02-28;-0,014374632;0;0;0;0;0;0;0;-0,000458821;0,000623607;0;0;0;0;-0,004652872;0;-0,028557095;-0,004304918;0;0;0;0;-0,007395084;-0,0031641;-0,003354165;-0,000871887;0;0;0;0;-0,008652173;-0,008612346;0,011020467;0,011020467;0,011020467;0,011020467
1977-03-31;-0,026382777;0;0;0;0;0;0;0;-0,01221646;0,031850515;0;0;0;0;0,000808638;0;-0,029588389;0,009018906;0;0;0;0;0,001233809;-0,004381727;-0,005177621;0,016289729;0;0;0;0;-0,010305693;-0,004585216;0,021205155;0,021205155;0,021205155;0,021205155
1977-04-30;-0,015085041;0;0;0;0;0;0;0;0,011374876;-0,002641727;0;0;0;0;0,004635365;0;-0,025351784;0,045596429;0;0;0;0;0,029874462;-0,007633479;0,012028336;0,031823706;0;0;0;0;0,009086952;-0,015841757;0,027113377;0,027113377;0,027113377;0,027113377
1977-05-31;-0,017914695;0;0;0;0;0;0;0;-0,01072971;0,010811178;0;0;0;0;-0,008451057;0;-0,022963215;0,022612921;0;0;0;0;0,014042589;-0,004326477;-0,012521071;0,013883154;0;0;0;0;0,005464557;-0,006198877;0,005393624;0,005393624;0,005393624;0,005393624
1977-06-30;0,028621619;0;0;0;0;0;0;0;0,003950145;-0,014483067;0;0;0;0;0,003011956;0;0,036208561;-0,023061474;0;0;0;0;-0,002716977;0,013625656;0,038748363;-0,013863068;0;0;0;0;-0,014523917;0,009586556;0,010126744;0,010126744;0,010126744;0,010126744
1977-07-31;-0,025093344;0;0;0;0;0;0;0;-0,026375725;0,004727026;0;0;0;0;0,017751614;0;-0,023256304;-0,000529913;0;0;0;0;-0,003423276;-0,007811873;-0,012325219;0,009637974;0;0;0;0;0,007800059;-0,00169729;0,012768125;0,012768125;0,012768125;0,012768125
1977-08-31;-0,000339418;0;0;0;0;0;0;0;0,041337906;-0,005797178;0;0;0;0;0,026362356;0;-0,023591883;-0,039796587;0;0;0;0;-0,024441541;0,011072133;0,004794202;-0,029338615;0;0;0;0;0,021449813;0,006758244;0,00513362;0,00513362;0,00513362;0,00513362
1977-09-30;0,005549907;0;0;0;0;0;0;0;0,036513302;-0,003115204;0;0;0;0;0,016064069;0;-0,00579953;0,011907114;0;0;0;0;0,004858284;-0,003498967;0,013549166;-0,002652922;0;0;0;0;0,018815587;-0,002856655;0,007999259;0,007999259;0,007999259;0,007999259
1977-10-31;-0,037797969;0;0;0;0;0;0;0;0,004944519;-0,005460581;0;0;0;0;-0,001865769;0;-0,059090447;0,003672011;0;0;0;0;0,000679754;-0,004992141;-0,01593642;0,004749241;0;0;0;0;-0,009978911;-0,016657106;0,021861548;0,021861548;0,021861548;0,021861548
1977-11-30;0,003819723;0;0;0;0;0;0;0;-0,02505936;-0,004201698;0;0;0;0;-0,007609778;0;0,017623412;-0,003299581;0;0;0;0;0,012586161;0,000899544;0,013697088;-9,29E-06;0;0;0;0;-0,012111371;0,006220079;0,009877365;0,009877365;0,009877365;0,009877365
1977-12-31;-0,036526724;0;0;0;0;0;0;0;-0,002127991;0,002687086;0;0;0;0;0,015233301;0;-0,045669178;0,014469356;0;0;0;0;0,002602203;-0,009061425;0,020965481;0,019279485;0;0;0;0;0,004131271;-0,017862866;0,057492205;0,057492205;0,057492205;0,057492205
1978-01-31;-0,037835794;0;0;0;0;0;0;0;-0,009424387;0,008162091;0;0;0;0;-0,007032689;0;-0,059407683;0,005737547;0;0;0;0;-0,017486364;-0,013578579;-0,028311185;0,002459035;0;0;0;0;0,010464257;-0,014536211;0,009524608;0,009524608;0,009524608;0,009524608
1978-02-28;-0,041969391;0;0;0;0;0;0;0;-0,036371383;0,01263631;0;0;0;0;-0,010142215;0;-0,048520011;0,027820558;0;0;0;0;0,006205066;-0,014296127;-0,006449808;0,017269612;0;0;0;0;0,003712475;-0,014412237;0,035519583;0,035519583;0,035519583;0,035519583
1978-03-31;0,026574372;0;0;0;0;0;0;0;0,016093389;0,000534065;0;0;0;0;-0,004956908;0;0,006897447;0,027958599;0;0;0;0;0,000899777;0,003323544;0,046518996;0,017543237;0;0;0;0;0,013750816;-0,017398437;0,019944624;0,019944624;0,019944624;0,019944624
