"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead1494",1.20035236149697,59.3370002525221,63,NA,NA,0,FALSE,TRUE,0.576999999999998,2.21584204034595,0.906152040773247,1.33034707331154,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .543",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:35,59.3370002525221,-0.00112946618155547,0.00549574107872424,0.00228773202549046
"Nelder-Mead595",0.9107421875,23.4966775292487,24,NA,NA,0,TRUE,TRUE,0.217999999999961,7.12586764279078,0.524750769393251,12.6710304447708,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .544",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:36,23.4966775292487,NA,NA,NA
"Nelder-Mead1495",1.12426412105367,22.5205076738661,79,NA,NA,0,FALSE,TRUE,0.84800000000007,1.49711832043621,0.982832225806732,0.958618714008159,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .544",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:38,22.5205076738661,-0.00147095714346634,0.0446803266954964,0.0170851373519051
"Nelder-Mead596",1.183203125,31.6353417900685,24,NA,NA,0,TRUE,TRUE,0.24899999999991,3.62896800986339,0.506153935665883,4.93213655241696,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .545",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:35,31.6353417900685,NA,NA,NA
"Nelder-Mead1496",1.04981537885197,31.2672432028691,59,NA,NA,0,FALSE,TRUE,0.591999999999985,0.255352386217853,0.999919095118246,0.158418086649347,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .545",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:37,31.2672432028691,0.000883883843550848,0.000342029834179901,0.000410687853670303
"Nelder-Mead597",0.8845703125,30.6317802384457,24,NA,NA,0,TRUE,TRUE,0.249000000000024,0.623463742666771,0.942628786689305,0.848177000841914,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .546",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:38,30.6317802384457,NA,NA,NA
"Nelder-Mead1497",1.11716884540438,29.6776005647434,61,NA,NA,0,FALSE,TRUE,0.634000000000015,2.23056529515108,0.966409015793508,0.936373645666814,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .546",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:40,29.6776005647434,-0.00162462120943871,0.0369788460653705,0.0140574779239275
"Nelder-Mead598",0.941015625,26.3695050204611,24,NA,NA,0,TRUE,TRUE,0.236999999999966,0.688487430487284,0.96760681126348,1.29685310054798,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .547",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:40,26.3695050204611,NA,NA,NA
"Nelder-Mead1498",0.888177265821826,26.3019869698778,65,NA,NA,0,FALSE,TRUE,0.677000000000021,1.9027589317114,0.97761445956762,1.440791604065,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .547",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:43,26.3019869698778,0.00038611371511621,0.0532234723297917,0.0192293951566468
"Nelder-Mead599",0.99609375,91.1735925146467,20,NA,NA,0,TRUE,TRUE,0.177999999999997,1.02850084592687,0.996794442429177,2.33702397022975,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .548",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:40,91.1735925146467,NA,NA,NA
"Nelder-Mead1499",1.05383550879533,91.1136486204955,57,NA,NA,0,FALSE,TRUE,0.581999999999994,12.7679209140804,0.789564797797161,5.45008067760954,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .548",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:42,91.1136486204955,-0.000445871609008464,0.118754228757415,0.0556195184809207
"Nelder-Mead600",0.800146484375,16.9921480201113,28,NA,NA,0,TRUE,TRUE,0.254000000000019,2.88093894840181,0.564773508377727,6.61719216975601,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .549",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:49:42,16.9921480201113,NA,NA,NA
