"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead363",0.83046875,32.5962640556121,26,NA,NA,0,TRUE,TRUE,0.517000000000053,2.21897133367357,0.706779378031948,3.13323399806785,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .335",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:34,32.5962640556121,NA,NA,NA
"Nelder-Mead1263",1.10899608745081,31.249138173381,65,NA,NA,0,FALSE,TRUE,1.39400000000001,4.50324396812319,0.886508607349512,2.02618178750381,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .335",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:38,31.249138173381,-0.00203414763208691,0.00465175847158287,0.00325956222873877
"Nelder-Mead364",0.462109374999999,62.7918652819075,28,NA,NA,0,TRUE,TRUE,0.604000000000042,1.11116971505195,0.550048285724557,0.556085925030825,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .336",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:37,62.7918652819075,NA,NA,NA
"Nelder-Mead1264",0.911508302639314,59.0098495878173,59,NA,NA,0,FALSE,TRUE,1.27200000000005,4.36273082302603,0.928233837341727,1.57508769721463,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .336",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:43,59.0098495878173,-0.00458167535192047,0.0292326207072868,0.0104043162364408
"Nelder-Mead365",0.9001953125,66.3890930357767,22,NA,NA,0,TRUE,TRUE,0.429000000000087,1.30741915517897,0.896181486626313,0.948164073182504,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .337",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:41,66.3890930357767,NA,NA,NA
"Nelder-Mead1265",1.94099663466369,52.3932407811227,77,NA,NA,0,FALSE,TRUE,1.77599999999995,0.722334331697194,0.793731841619535,0.250429261653824,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .337",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:45,52.3932407811227,-0.00733737535996136,0.00079031690539267,0.000320440367539118
"Nelder-Mead366",0.9736328125,33.8254447169951,24,NA,NA,0,TRUE,TRUE,0.472999999999956,1.26269165090659,0.973440435451392,1.28173454036487,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .338",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:43,33.8254447169951,NA,NA,NA
"Nelder-Mead1266",1.29190561041532,31.6339689835877,69,NA,NA,0,FALSE,TRUE,1.52199999999993,5.41336277629295,0.286897024712486,2.13827474232886,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .338",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:47,31.6339689835877,-0.00243969586428556,0.0339382920792353,0.011533364532833
"Nelder-Mead367",0.9568359375,29.8484224572005,22,NA,NA,0,TRUE,TRUE,0.406000000000063,32.68387171433,0.158312831936808,66.9321694685352,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .339",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:46,29.8484224572005,NA,NA,NA
"Nelder-Mead1267",1.32093561745376,26.8126990857173,75,NA,NA,0,FALSE,TRUE,1.66899999999998,0.495390194099638,0.987440614761305,0.187581511069697,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .339",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:50,26.8126990857173,-0.00282338660697587,0.000613578327219328,0.00030744660135956
"Nelder-Mead368",0.89921875,24.9485908984879,26,NA,NA,0,TRUE,TRUE,0.5,1.49360151362056,0.880348828767495,1.87037097318002,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .34",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:48,24.9485908984879,NA,NA,NA
"Nelder-Mead1268",1.15752403328206,23.5296582349242,81,NA,NA,0,FALSE,TRUE,1.82299999999998,0.338604160265415,0.998578480033262,0.134524551027678,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .34",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:52,23.5296582349242,-0.00200586495548079,0.000435534810889546,0.000266639921387874
"Nelder-Mead369",0.973046875,44.852561319204,22,NA,NA,0,TRUE,TRUE,0.461000000000013,0.850986829977992,0.98170072232749,0.923908599669909,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .340",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:50,44.852561319204,NA,NA,NA
"Nelder-Mead1269",1.71780167387947,37.6811543355603,85,NA,NA,0,FALSE,TRUE,1.92999999999995,0.892294710712434,0.814551119992653,0.35356916517881,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .340",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:54,37.6811543355603,-0.00526043042547356,0.00117779807817685,0.000469070663281937
"Nelder-Mead370",0.86796875,64.56468745519,24,NA,NA,0,TRUE,TRUE,0.409999999999968,1.00045310440734,0.894912256011077,1.35061526143058,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .341",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:53,64.56468745519,NA,NA,NA
"Nelder-Mead1270",2.04025849626018,45.8681852476962,153,NA,NA,0,FALSE,TRUE,3.495,1.09203408296574,0.524528351825215,0.435290896270068,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .341",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:58,45.8681852476962,-0.00825549337163265,0.00110699590894483,0.000421556398653019
"Nelder-Mead371",0.0718749999999992,195.68159261589,26,NA,NA,0,TRUE,TRUE,0.496999999999957,1.09539263177351,0.309314588400689,0.535240167094296,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .342",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:56,195.68159261589,NA,NA,NA
"Nelder-Mead1271",1.39506107270291,174.667778749621,71,NA,NA,0,FALSE,TRUE,1.56799999999998,7.44314578733727,0.0132401417907985,3.68728794277683,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .342",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:59,174.667778749621,-0.0083411354647973,0.0505742816718368,0.0255074095389192
"Nelder-Mead372",0.9126953125,45.8178060506967,22,NA,NA,0,TRUE,TRUE,0.451999999999998,3.56055673555053,0.75591215318189,3.7064969801991,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .343",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:57,45.8178060506967,NA,NA,NA
